sample,test,meas_mon,meas_diaz,moles_mon,moles_diaz,moles,Exposure_conc_EC50,1,2,3,average,pct_control,Mortality
MEOH-1,1,0,0,0,0,0,0,99.21,101.03,NA,100.12,79.67315861,No
MEOH-2,1,0,0,0,0,0,0,90.73,88.944,89.645,89.773,71.43925757,No
H2O-1,1,0,0,0,0,0,0,124.63,125.28,125.54,125.15,99.59144827,No
H2O-2,1,0,0,0,0,0,0,NA,119.47,118.69,119.08,94.76108398,No
H2O-3,1,0,0,0,0,0,0,109.97,112.49,108.68,110.38,87.83782708,No
H2O-4,1,0,0,0,0,0,0,113.93,110.2,110.66,111.5966667,88.80602204,No
H2O-5,1,0,0,0,0,0,0,141.89,139.22,139.27,140.1266667,111.50953,No
H2O-6,1,0,0,0,0,0,0,117.01,117.44,118.08,117.51,93.51171463,No
H2O-7,1,0,0,0,0,0,0,100.44,108.55,109.43,106.14,84.46373407,No
H2O-8,1,0,0,0,0,0,0,120.49,121.92,122.31,121.5733333,96.74522041,No
H2O-9,1,0,0,0,0,0,0,116.36,116.83,118.38,117.19,93.2570661,No
MEOH-1,1,0,0,0,0,0,0,96.303,108.82,98.554,101.2256667,80.55302236,No
MEOH-2,1,0,0,0,0,0,0,115.38,123.26,116.78,118.4733333,94.27831278,No
MEOH-3,1,0,0,0,0,0,0,83.481,83.538,83.132,83.38366667,66.35477527,No
MEOH-4,1,0,0,0,0,0,0,112.68,110.54,108.85,110.69,88.08451785,No
MEOH-5,1,0,0,0,0,0,0,139.77,149.58,135.56,141.6366667,112.7111527,No
MEOH-6,2,0,0,0,0,0,0,117.98,117.02,117.17,117.39,93.41622143,No
H2O-1,2,0,0,0,0,0,0,117.73,116.74,116.05,116.84,92.97854427,No
H2O-2,2,0,0,0,0,0,0,142.54,134.53,129.12,135.3966667,107.7455064,No
H2O-3,2,0,0,0,0,0,0,NA,139.57,136.32,137.945,109.7734106,No
H2O-4,2,0,0,0,0,0,0,141.09,138.85,140.37,140.1033333,111.4909618,No
H2O-5,2,0,0,0,0,0,0,106.86,107.33,105.2,106.4633333,84.72103516,No
H2O-6,2,0,0,0,0,0,0,129.13,124.67,126.12,126.64,100.7771555,No
MEOH-1,2,0,0,0,0,0,0,134.22,135.2,139.53,136.3166667,108.4776209,No
MEOH-2,2,0,0,0,0,0,0,134.81,135.79,136.71,135.77,108.0425963,No
MEOH-3,2,0,0,0,0,0,0,135.66,136.89,135.26,135.9366667,108.1752258,No
MEOH-4,2,0,0,0,0,0,0,145.59,145.58,145.61,145.5933333,115.8597756,No
MEOH-5,2,0,0,0,0,0,0,144.27,148.53,145.1,145.9666667,116.1568656,No
