conc,percentmortality,toxicant,concunit,endpoint,orgage,ageunits,exposure,exposureunits,exposuretype,nominalormeasured,authoryear
3.934157933,22.5,copper,μM,mortality,14,days,24,hours,flowthrough,nominal,cswrcb1987
3.934157933,25.5,copper,μM,mortality,14,days,24,hours,flowthrough,nominal,cswrcb1987
1.967078966,19.5,copper,μM,mortality,14,days,24,hours,flowthrough,nominal,cswrcb1987
1.967078966,34.5,copper,μM,mortality,14,days,24,hours,flowthrough,nominal,cswrcb1987
0.983539483,16,copper,μM,mortality,14,days,24,hours,flowthrough,nominal,cswrcb1987
0.983539483,17,copper,μM,mortality,14,days,24,hours,flowthrough,nominal,cswrcb1987
0.492556573,3,copper,μM,mortality,14,days,24,hours,flowthrough,nominal,cswrcb1987
0.492556573,4.5,copper,μM,mortality,14,days,24,hours,flowthrough,nominal,cswrcb1987
0.245491455,1,copper,μM,mortality,14,days,24,hours,flowthrough,nominal,cswrcb1987
0.245491455,0.5,copper,μM,mortality,14,days,24,hours,flowthrough,nominal,cswrcb1987
0,1,copper,μM,mortality,14,days,24,hours,flowthrough,nominal,cswrcb1987
0,3.5,copper,μM,mortality,14,days,24,hours,flowthrough,nominal,cswrcb1987
3.934157933,73.5,copper,μM,mortality,14,days,48,hours,flowthrough,nominal,cswrcb1987
3.934157933,76.5,copper,μM,mortality,14,days,48,hours,flowthrough,nominal,cswrcb1987
1.967078966,61.5,copper,μM,mortality,14,days,48,hours,flowthrough,nominal,cswrcb1987
1.967078966,63.5,copper,μM,mortality,14,days,48,hours,flowthrough,nominal,cswrcb1987
0.983539483,55,copper,μM,mortality,14,days,48,hours,flowthrough,nominal,cswrcb1987
0.983539483,64,copper,μM,mortality,14,days,48,hours,flowthrough,nominal,cswrcb1987
0.492556573,11.5,copper,μM,mortality,14,days,48,hours,flowthrough,nominal,cswrcb1987
0.492556573,11,copper,μM,mortality,14,days,48,hours,flowthrough,nominal,cswrcb1987
0.245491455,2.5,copper,μM,mortality,14,days,48,hours,flowthrough,nominal,cswrcb1987
0.245491455,1,copper,μM,mortality,14,days,48,hours,flowthrough,nominal,cswrcb1987
0,2,copper,μM,mortality,14,days,48,hours,flowthrough,nominal,cswrcb1987
0,3.5,copper,μM,mortality,14,days,48,hours,flowthrough,nominal,cswrcb1987
3.934157933,100,copper,μM,mortality,14,days,96,hours,flowthrough,nominal,cswrcb1987
3.934157933,100,copper,μM,mortality,14,days,96,hours,flowthrough,nominal,cswrcb1987
1.967078966,93,copper,μM,mortality,14,days,96,hours,flowthrough,nominal,cswrcb1987
1.967078966,93,copper,μM,mortality,14,days,96,hours,flowthrough,nominal,cswrcb1987
0.983539483,77.5,copper,μM,mortality,14,days,96,hours,flowthrough,nominal,cswrcb1987
0.983539483,76.5,copper,μM,mortality,14,days,96,hours,flowthrough,nominal,cswrcb1987
0.492556573,19.5,copper,μM,mortality,14,days,96,hours,flowthrough,nominal,cswrcb1987
0.492556573,19,copper,μM,mortality,14,days,96,hours,flowthrough,nominal,cswrcb1987
0.245491455,5.5,copper,μM,mortality,14,days,96,hours,flowthrough,nominal,cswrcb1987
0.245491455,2,copper,μM,mortality,14,days,96,hours,flowthrough,nominal,cswrcb1987
0,3,copper,μM,mortality,14,days,96,hours,flowthrough,nominal,cswrcb1987
0,3.5,copper,μM,mortality,14,days,96,hours,flowthrough,nominal,cswrcb1987
3.934157933,100,copper,μM,mortality,14,days,168,hours,flowthrough,nominal,cswrcb1987
3.934157933,100,copper,μM,mortality,14,days,168,hours,flowthrough,nominal,cswrcb1987
1.967078966,100,copper,μM,mortality,14,days,168,hours,flowthrough,nominal,cswrcb1987
1.967078966,100,copper,μM,mortality,14,days,168,hours,flowthrough,nominal,cswrcb1987
0.983539483,93.5,copper,μM,mortality,14,days,168,hours,flowthrough,nominal,cswrcb1987
0.983539483,92,copper,μM,mortality,14,days,168,hours,flowthrough,nominal,cswrcb1987
0.492556573,27.5,copper,μM,mortality,14,days,168,hours,flowthrough,nominal,cswrcb1987
0.492556573,24.5,copper,μM,mortality,14,days,168,hours,flowthrough,nominal,cswrcb1987
0.245491455,10,copper,μM,mortality,14,days,168,hours,flowthrough,nominal,cswrcb1987
0.245491455,4.5,copper,μM,mortality,14,days,168,hours,flowthrough,nominal,cswrcb1987
0,4.5,copper,μM,mortality,14,days,168,hours,flowthrough,nominal,cswrcb1987
0,5.5,copper,μM,mortality,14,days,168,hours,flowthrough,nominal,cswrcb1987
0,0,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
3.13283208,3,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
6.26566416,10,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
12.53132832,30,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
25.06265664,93,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
50.12531328,100,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
100.2506266,100,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
0,3,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
3.13283208,0,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
6.26566416,0,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
12.53132832,0,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
25.06265664,23,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
50.12531328,50,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
100.2506266,100,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
0,0,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
3.13283208,0,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
6.26566416,0,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
12.53132832,0,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
25.06265664,13,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
50.12531328,43,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
100.2506266,97,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
0,0,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
3.13283208,0,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
6.26566416,0,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
12.53132832,7,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
25.06265664,82,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
50.12531328,97,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
100.2506266,100,copper,μM,mortality,1.5,months,96,hours,static,nominal,reardon1990
0.284662053,100,cadmium,μM,mortality,20,days,24,hours,flowthrough,nominal,cswrcb1987
0.284662053,100,cadmium,μM,mortality,20,days,24,hours,flowthrough,nominal,cswrcb1987
0.142331026,85,cadmium,μM,mortality,20,days,24,hours,flowthrough,nominal,cswrcb1987
0.142331026,80,cadmium,μM,mortality,20,days,24,hours,flowthrough,nominal,cswrcb1987
0.071165513,30,cadmium,μM,mortality,20,days,24,hours,flowthrough,nominal,cswrcb1987
0.071165513,25,cadmium,μM,mortality,20,days,24,hours,flowthrough,nominal,cswrcb1987
0.035582757,0,cadmium,μM,mortality,20,days,24,hours,flowthrough,nominal,cswrcb1987
0.035582757,5,cadmium,μM,mortality,20,days,24,hours,flowthrough,nominal,cswrcb1987
0.017791378,5,cadmium,μM,mortality,20,days,24,hours,flowthrough,nominal,cswrcb1987
0.017791378,0,cadmium,μM,mortality,20,days,24,hours,flowthrough,nominal,cswrcb1987
0,5,cadmium,μM,mortality,20,days,24,hours,flowthrough,nominal,cswrcb1987
0,0,cadmium,μM,mortality,20,days,24,hours,flowthrough,nominal,cswrcb1987
0.284662053,100,cadmium,μM,mortality,20,days,48,hours,flowthrough,nominal,cswrcb1987
0.284662053,100,cadmium,μM,mortality,20,days,48,hours,flowthrough,nominal,cswrcb1987
0.142331026,85,cadmium,μM,mortality,20,days,48,hours,flowthrough,nominal,cswrcb1987
0.142331026,85,cadmium,μM,mortality,20,days,48,hours,flowthrough,nominal,cswrcb1987
0.071165513,30,cadmium,μM,mortality,20,days,48,hours,flowthrough,nominal,cswrcb1987
0.071165513,30,cadmium,μM,mortality,20,days,48,hours,flowthrough,nominal,cswrcb1987
0.035582757,10,cadmium,μM,mortality,20,days,48,hours,flowthrough,nominal,cswrcb1987
0.035582757,5,cadmium,μM,mortality,20,days,48,hours,flowthrough,nominal,cswrcb1987
0.017791378,5,cadmium,μM,mortality,20,days,48,hours,flowthrough,nominal,cswrcb1987
0.017791378,0,cadmium,μM,mortality,20,days,48,hours,flowthrough,nominal,cswrcb1987
0,5,cadmium,μM,mortality,20,days,48,hours,flowthrough,nominal,cswrcb1987
0,5,cadmium,μM,mortality,20,days,48,hours,flowthrough,nominal,cswrcb1987
0.284662053,100,cadmium,μM,mortality,20,days,96,hours,flowthrough,nominal,cswrcb1987
0.284662053,100,cadmium,μM,mortality,20,days,96,hours,flowthrough,nominal,cswrcb1987
0.142331026,95,cadmium,μM,mortality,20,days,96,hours,flowthrough,nominal,cswrcb1987
0.142331026,90,cadmium,μM,mortality,20,days,96,hours,flowthrough,nominal,cswrcb1987
0.071165513,30,cadmium,μM,mortality,20,days,96,hours,flowthrough,nominal,cswrcb1987
0.071165513,30,cadmium,μM,mortality,20,days,96,hours,flowthrough,nominal,cswrcb1987
0.035582757,10,cadmium,μM,mortality,20,days,96,hours,flowthrough,nominal,cswrcb1987
0.035582757,10,cadmium,μM,mortality,20,days,96,hours,flowthrough,nominal,cswrcb1987
0.017791378,10,cadmium,μM,mortality,20,days,96,hours,flowthrough,nominal,cswrcb1987
0.017791378,5,cadmium,μM,mortality,20,days,96,hours,flowthrough,nominal,cswrcb1987
0,5,cadmium,μM,mortality,20,days,96,hours,flowthrough,nominal,cswrcb1987
0,5,cadmium,μM,mortality,20,days,96,hours,flowthrough,nominal,cswrcb1987
0.284662053,100,cadmium,μM,mortality,20,days,168,hours,flowthrough,nominal,cswrcb1987
0.284662053,100,cadmium,μM,mortality,20,days,168,hours,flowthrough,nominal,cswrcb1987
0.142331026,100,cadmium,μM,mortality,20,days,168,hours,flowthrough,nominal,cswrcb1987
0.142331026,100,cadmium,μM,mortality,20,days,168,hours,flowthrough,nominal,cswrcb1987
0.071165513,30,cadmium,μM,mortality,20,days,168,hours,flowthrough,nominal,cswrcb1987
0.071165513,40,cadmium,μM,mortality,20,days,168,hours,flowthrough,nominal,cswrcb1987
0.035582757,15,cadmium,μM,mortality,20,days,168,hours,flowthrough,nominal,cswrcb1987
0.035582757,10,cadmium,μM,mortality,20,days,168,hours,flowthrough,nominal,cswrcb1987
0.017791378,10,cadmium,μM,mortality,20,days,168,hours,flowthrough,nominal,cswrcb1987
0.017791378,15,cadmium,μM,mortality,20,days,168,hours,flowthrough,nominal,cswrcb1987
0,5,cadmium,μM,mortality,20,days,168,hours,flowthrough,nominal,cswrcb1987
0,5,cadmium,μM,mortality,20,days,168,hours,flowthrough,nominal,cswrcb1987
181.4720586,20,cadmium,μM,mortality,128,days,24,hours,flowthrough,nominal,cswrcb1987
181.4720586,0,cadmium,μM,mortality,128,days,24,hours,flowthrough,nominal,cswrcb1987
88.95689149,0,cadmium,μM,mortality,128,days,24,hours,flowthrough,nominal,cswrcb1987
88.95689149,40,cadmium,μM,mortality,128,days,24,hours,flowthrough,nominal,cswrcb1987
44.47844575,20,cadmium,μM,mortality,128,days,24,hours,flowthrough,nominal,cswrcb1987
44.47844575,30,cadmium,μM,mortality,128,days,24,hours,flowthrough,nominal,cswrcb1987
22.06130909,0,cadmium,μM,mortality,128,days,24,hours,flowthrough,nominal,cswrcb1987
22.06130909,0,cadmium,μM,mortality,128,days,24,hours,flowthrough,nominal,cswrcb1987
11.11961144,0,cadmium,μM,mortality,128,days,24,hours,flowthrough,nominal,cswrcb1987
11.11961144,0,cadmium,μM,mortality,128,days,24,hours,flowthrough,nominal,cswrcb1987
0.000978526,0,cadmium,μM,mortality,128,days,24,hours,flowthrough,nominal,cswrcb1987
0.000978526,0,cadmium,μM,mortality,128,days,24,hours,flowthrough,nominal,cswrcb1987
181.4720586,90,cadmium,μM,mortality,128,days,48,hours,flowthrough,nominal,cswrcb1987
181.4720586,80,cadmium,μM,mortality,128,days,48,hours,flowthrough,nominal,cswrcb1987
88.95689149,60,cadmium,μM,mortality,128,days,48,hours,flowthrough,nominal,cswrcb1987
88.95689149,80,cadmium,μM,mortality,128,days,48,hours,flowthrough,nominal,cswrcb1987
44.47844575,60,cadmium,μM,mortality,128,days,48,hours,flowthrough,nominal,cswrcb1987
44.47844575,40,cadmium,μM,mortality,128,days,48,hours,flowthrough,nominal,cswrcb1987
22.06130909,40,cadmium,μM,mortality,128,days,48,hours,flowthrough,nominal,cswrcb1987
22.06130909,30,cadmium,μM,mortality,128,days,48,hours,flowthrough,nominal,cswrcb1987
11.11961144,0,cadmium,μM,mortality,128,days,48,hours,flowthrough,nominal,cswrcb1987
11.11961144,20,cadmium,μM,mortality,128,days,48,hours,flowthrough,nominal,cswrcb1987
0.000978526,0,cadmium,μM,mortality,128,days,48,hours,flowthrough,nominal,cswrcb1987
0.000978526,0,cadmium,μM,mortality,128,days,48,hours,flowthrough,nominal,cswrcb1987
181.4720586,100,cadmium,μM,mortality,128,days,96,hours,flowthrough,nominal,cswrcb1987
181.4720586,90,cadmium,μM,mortality,128,days,96,hours,flowthrough,nominal,cswrcb1987
88.95689149,90,cadmium,μM,mortality,128,days,96,hours,flowthrough,nominal,cswrcb1987
88.95689149,100,cadmium,μM,mortality,128,days,96,hours,flowthrough,nominal,cswrcb1987
44.47844575,90,cadmium,μM,mortality,128,days,96,hours,flowthrough,nominal,cswrcb1987
44.47844575,80,cadmium,μM,mortality,128,days,96,hours,flowthrough,nominal,cswrcb1987
22.06130909,70,cadmium,μM,mortality,128,days,96,hours,flowthrough,nominal,cswrcb1987
22.06130909,70,cadmium,μM,mortality,128,days,96,hours,flowthrough,nominal,cswrcb1987
11.11961144,60,cadmium,μM,mortality,128,days,96,hours,flowthrough,nominal,cswrcb1987
11.11961144,50,cadmium,μM,mortality,128,days,96,hours,flowthrough,nominal,cswrcb1987
0.000978526,0,cadmium,μM,mortality,128,days,96,hours,flowthrough,nominal,cswrcb1987
0.000978526,0,cadmium,μM,mortality,128,days,96,hours,flowthrough,nominal,cswrcb1987
181.4720586,90,cadmium,μM,mortality,128,days,120,hours,flowthrough,nominal,cswrcb1987
